niche,channel_id,title,subs,n_long,median,mean,skew,hits,hit_rate,min,max,spread,newest_days,oldest_days
language,UC5NBerHf6xPrkKbaSe0Carg,Aakash Animates,7170,50,953,1627,1.71,0,0.0,432,12399,28.7,21,172
language,UCKiLRmYQNPFvXLOWLA2r86Q,JAZZY ENGLISH STORIES,2950,50,608,1777,2.92,0,0.0,19,20061,1055.8,0,143
language,UCadQMnixagbb9u3-n3GZogQ,English Moral Stories,1440,40,262,341,1.3,0,0.0,82,1174,14.3,43,154
survival,UC2sAny8hk9VtLrE4ylZbGjQ,Sketchy Survival,40900,50,923,1609,1.74,0,0.0,229,15865,69.3,1,70
survival,UCvFcxb2Q_f3RhvHPcuWiSuQ,Survival Curriculum,50600,50,4928,12673,2.57,2,4.0,628,197987,315.3,0,157
cars,UCg0fh5NKq1texA56gCZ6CMQ,Cars Explained,20300,36,10551,103882,9.85,5,13.9,486,1608441,3309.5,24,490
cars,UCiLYSOEmbH5cVD7aoWbFcoQ,Pepe Explains Cars,5530,11,19664,45327,2.31,1,9.1,64,303623,4744.1,6,101
cars,UCl3zJhrd5phKX640RV2yZNQ,cacaca | Auto Detail & Car Care,2330,19,2602,21699,8.34,1,5.3,197,233433,1184.9,482,795
cars,UCdIH0yxf3hdyMAdmJxpG5jA,Auto CAR Reviews Pro ,1200,50,75,113,1.51,0,0.0,3,1129,376.3,143,178
cars,UC2GJzrZM_2fgKvS5bSecZyw,Auto Car Reviews,2190,48,49,90,1.84,0,0.0,1,417,417.0,0,47
food_science,UCOBmxmWH92jM7o-Nc9fmThw,Food Science World,34500,6,54258,61622,1.14,2,33.3,2406,137395,57.1,24,52
food_science,UCZzQdpvLbJqxUOTvUwOma4Q,Cook the Science,1260,12,1074,1752,1.63,0,0.0,410,4070,9.9,83,637
ocean,UCflLXCMNPbeMdhBYU4nf50A,Deep Explained,6170,22,8775,36737,4.19,3,13.6,92,358017,3891.5,0,82
ocean,UC5hxA0oLaqpP9VD7GdP3NWQ,Science Hidden Files ,1550,14,5324,54706,10.27,1,7.1,1010,651049,644.6,90,141
ocean,UCn7WBZICOj7GnvC4xjTB-PQ,Lumos Explained,6270,8,64,77,1.2,0,0.0,6,230,38.3,69,261
